# Full-ISA Z80N golden vectors from the Spectrum Next FPGA Z80N core (HDL simulation of the core source).
# fmt: opcodehex AF BC DE HL IX IY memHL memDE | (post) AF BC DE HL IX IY memHL memDE  name
95 8055 0F10 7F80 0001 1234 4321 00 00 | 7F3E 0F10 7F80 0001 1234 4321 00 00 SUB_A_L
95 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 1003 C0F0 3CC3 00FF F00F 0FF0 00 00 SUB_A_L
95 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1113 55AA 2710 7FFF 8000 00C0 00 00 SUB_A_L
96 0000 A000 A001 A000 A000 A000 00 00 | 0042 A000 A001 A000 A000 A000 00 00 SUB_A_(HL)
96 00FF A000 A001 A000 A000 A000 08 80 | F8BB A000 A001 A000 A000 A000 08 80 SUB_A_(HL)
96 FF28 A000 A001 A000 A000 A000 28 0F | D782 A000 A001 A000 A000 A000 28 0F SUB_A_(HL)
96 3C01 A000 A001 A000 A000 A000 FF 55 | 3D3B A000 A001 A000 A000 A000 FF 55 SUB_A_(HL)
96 8055 A000 A001 A000 A000 A000 AC 18 | D493 A000 A001 A000 A000 A000 AC 18 SUB_A_(HL)
96 0F10 A000 A001 A000 A000 A000 80 C0 | 8F8F A000 A001 A000 A000 A000 80 C0 SUB_A_(HL)
96 AAC3 A000 A001 A000 A000 A000 07 F7 | A3A2 A000 A001 A000 A000 A000 07 F7 SUB_A_(HL)
96 1093 A000 A001 A000 A000 A000 42 01 | CE9B A000 A001 A000 A000 A000 42 01 SUB_A_(HL)
97 0000 0001 0408 1234 5678 C0DE 00 00 | 0042 0001 0408 1234 5678 C0DE 00 00 SUB_A_A
97 00FF 0102 8001 4123 00FF 0001 00 00 | 0042 0102 8001 4123 00FF 0001 00 00 SUB_A_A
97 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 0042 FF7F 1020 8001 BEEF 1357 00 00 SUB_A_A
97 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 0042 8040 AA55 FFFF 0F0F 8080 00 00 SUB_A_A
97 8055 0F10 7F80 0001 1234 4321 00 00 | 0042 0F10 7F80 0001 1234 4321 00 00 SUB_A_A
97 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0042 C0F0 3CC3 00FF F00F 0FF0 00 00 SUB_A_A
97 1093 55AA 2710 7FFF 8000 00C0 00 00 | 0042 55AA 2710 7FFF 8000 00C0 00 00 SUB_A_A
98 0000 0001 0408 1234 5678 C0DE 00 00 | 0042 0001 0408 1234 5678 C0DE 00 00 SBC_A_B
98 00FF 0102 8001 4123 00FF 0001 00 00 | FEBB 0102 8001 4123 00FF 0001 00 00 SBC_A_B
98 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 0042 FF7F 1020 8001 BEEF 1357 00 00 SBC_A_B
98 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | BBAF 8040 AA55 FFFF 0F0F 8080 00 00 SBC_A_B
98 8055 0F10 7F80 0001 1234 4321 00 00 | 7036 0F10 7F80 0001 1234 4321 00 00 SBC_A_B
98 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 4F0B C0F0 3CC3 00FF F00F 0FF0 00 00 SBC_A_B
98 1093 55AA 2710 7FFF 8000 00C0 00 00 | BABB 55AA 2710 7FFF 8000 00C0 00 00 SBC_A_B
99 0000 0001 0408 1234 5678 C0DE 00 00 | FFBB 0001 0408 1234 5678 C0DE 00 00 SBC_A_C
